,Capture,Aquaculture
1960,34790181.0,2029179.0
1961,38630192.0,1948048.0
1962,42035679.0,2014404.0
1963,42996371.1,2247676.0
1964,47586827.1,2402677.0
1965,48653613.4,2604353.0
1966,52568635.8,2791746.0
1967,56020668.0,2915674.0
1968,59336231.0,3092313.0
1969,57903206.0,3238166.0
1970,63886816.0,3526017.0
1971,63917908.0,3930472.0
1972,59670600.0,4280803.0
1973,60227295.0,4504942.0
1974,63470416.0,4941524.0
1975,62941133.0,5219603.0
1976,66328026.0,5408491.0
1977,65083617.0,6282015.0
1978,67115747.0,6593363.0
1979,67583580.5,6714748.0
1980,68257270.0,7347225.0
1981,70308777.033,7818586.0
1982,72121092.738,8213439.0
1983,71946274.376,9089265.0
1984,77654923.412,10191481.449
1985,79380107.449,11354348.648
1986,84935065.919,12670909.102
1987,85595380.513,13971504.228
1988,89066596.22700001,15531104.959
1989,89603182.964,16486351.069
1990,86024297.41,16850459.040999997
1991,84921535.262,18305028.603
1992,86415586.71,21211488.889000002
1993,87749049.809,24467925.051999997
1994,93361399.18100001,27798479.005
1995,93696571.97700001,31232256.194000002
1996,95159583.233,33790684.135
1997,94464034.81,34296276.699
1998,86874551.956,36463874.108
1999,92812113.525,39604752.605
2000,94763862.69700001,41724569.753
2001,91957971.436,44324822.718
2002,92313232.588,47375084.709
2003,89559026.501,50271407.715
2004,94176615.32,54570314.088999994
2005,93697962.79100001,57820199.218
2006,91237774.25700001,61591980.132
2007,91558656.41700001,64937295.556
2008,90694759.549,68799079.902
2009,90266893.424,73045256.331
2010,88855994.004,78020019.865
2011,93180835.75,82635398.201
2012,90512336.661,90020572.645
2013,91753926.83,97110166.77600001
2014,92360622.69,101084799.121
2015,93736944.844,106004183.75299999
